Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How likely is it that you would recommend The Black Response to a friend or family member?,What is The Black Response good at?,What could The Black Response do better?,"Overall, how well has this workshop hosted by The Black Response met your needs?",,,,,How often do members of The Black Response treat you with respect?,,,,,How connected do you feel to other community participants at this workshop?,,,,,How has your knowledge about abolition and advocacy changed since you got involved with The Black Response?,How could we make it easier for you to attend The Black Response's Community Workshops?,,,,,,,,,How can we make the workshops more engaging for you?,"If The Black Response Cambridge were to offer other workshops through our community partners, which topics would you be interested in? Check all that apply.",,,,,,,,,,,,,,How would you like to be involved in The Black Response’s future advocacy efforts? Check all that apply,,,,,,How can we encourage more community members to get involved with The Black Response?,What is your age?,,,,,,,,Gender: How do you identify?,,,,,Race/Ethnicity: How do you identify? (Check all that apply),,,,,,,,
,,,,,,,,,Response,Open-Ended Response,Open-Ended Response,Not well at all,A little bit,Fairly well,Very well,Extremely well,Never,Rarely,Sometimes,Usually,Always,Not at all connected,A little bit connected,Fairly connected,Very connected,Extremely connected,Open-Ended Response,Help with childcare,Help with transportation,Offer more virtual meetings,Do more outreach before the workshops,Hold workshops at more convenient locations/venues,Hold workshops on other days and/or times,Provide food/drinks at workshops,Provide language interpretation,Other (please specify):,Open-Ended Response,Affordable housing,Anti-racism,"Disaster preparation (eg. fires, floods, earthquakes, etc.)",Mental health services,Immigration/Support for immigrants,Public schools,Preventing domestic/relationship abuse,Carceral systems,Alternatives to policing models,Abolition,Community organizing,Campaign building,Physical/Digital security,Other (please specify):,I am not interested,I am willing to join an advocacy planning committee,I am willing to meet with local council members,I am willing to meet with state officials,"I am willing to volunteer at The Black Response (small admin tasks, grant writing, etc.)",Other involvement (please specify):,Open-Ended Response,17 years or younger,18 - 24 years,25 - 34 years,35 - 44 years,45 - 54 years,55 - 64 years,65 - 74 years,75 years or older,Man,Non-binary,Woman,"Prefer to self-describe, below",Self-describe:,Asian or Asian American,Black or African American,Hispanic or Latino/a/x,Middle Eastern or North African,Native American or Alaska Native,Native Hawaiian or other Pacific Islander,White,"Another race or ethnicity, please describe below",Self-describe:
1.15E+11,4.33E+08,2024-10-19 22:01:20,2024-10-19 22:16:53,96.39.26.74,,,,,10,"Grounding their work in liberatory praxis, articulating a vision for new systems that better serve and value all peoples, finding and centering voices of scholars, activists, and those with lived experiences at the center of the issues/topic being explored, providing space for many ideas and viewpoints to exist alongside one another in constructive dialogue.","I would have loved to have access to a recording of this event after attending, but I understand there may be a much greater context that would not make that a good or potentially safe choice for individuals involved in the conversation and trust the decision making of the organizers. I don't have any feedback for futher consideration at the moment, I really enjoyed the event and am really inspired and appreciative of TBR's community and platform.",,,,Very well,,,,,,Always,,A little bit connected,,,,,,,Offer more virtual meetings,,,,,,,"Would love to learn more about the members of the wider TBR community, and have the opportunity to build bridges towards one another and the ways we are working to resist, educate, and activate our various communities.",Affordable housing,,,,Immigration/Support for immigrants,,Preventing domestic/relationship abuse,Carceral systems,Alternatives to policing models,Abolition,Community organizing,Campaign building,,,,,,,,"I'm interested in being involved, but not sure what capacity I have at this moment to contribute meaningful work. Would love to learn more about what types of opportunities there are (time and frequency details would be helpful).",,,,,35 - 44 years,,,,,,,Woman,,,,,,,,,White,,
1.15E+11,4.33E+08,2024-10-19 12:39:14,2024-10-19 12:43:44,67.186.132.15,,,,,9,describing what it would mean to have a totally different system that does not include policing and prisons and advocating for those things,the webinar you had about Palestine could have been much better. Yamilla's talk was out of date and she came down too hard on JVP.,,A little bit,,,,,,,,Always,,A little bit connected,,,,,,,Offer more virtual meetings,,,,,,,,Affordable housing,Anti-racism,,,,,,Carceral systems,Alternatives to policing models,Abolition,,,Physical/Digital security,,,,,,,,,,,,,,,65 - 74 years,,,,Woman,,queer,,,,,,,White,,secular jew/white
1.15E+11,4.33E+08,2024-10-18 19:39:05,2024-10-18 19:40:25,24.63.174.243,,,,,,Engaging many voices in conversation,,,,,Very well,,,,,,Always,,,,Very connected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 - 44 years,,,,,,,Woman,,,,,,,,,White,,
1.15E+11,4.33E+08,2024-10-17 19:47:42,2024-10-17 19:56:04,71.233.245.192,,,,,6,Maintains substantial network of activists and has concrete programs for people get in.,I don't know what that would be.,,,,Very well,,,,,,,,A little bit connected,,,,"I have not been involved with TBR, though I have some connection to the HEART effort.",,,,Do more outreach before the workshops,,,,,,It was very engaging.,Affordable housing,Anti-racism,,,,Public schools,,Carceral systems,Alternatives to policing models,,Community organizing,,,,I am not interested,,,,,,"What would make TBR the first group you think of when looking to fix a local issue, or provide connection to wider campaigns?",,,,,,,65 - 74 years,,Man,,,,,,,,,,,White,,
1.15E+11,4.33E+08,2024-10-17 19:48:19,2024-10-17 19:51:53,76.118.232.66,,,,,10,"Great panel, appreciated the variety of perspectives and experiences people shared.",It would have been nice to have more visuals. Especially the quotes people were referencing I didn't follow fully,,,,,Extremely well,,,,,Always,,A little bit connected,,,,it's about the same,,,,Do more outreach before the workshops,,,,,,more visuals,Affordable housing,,,,Immigration/Support for immigrants,,,Carceral systems,Alternatives to policing models,Abolition,Community organizing,Campaign building,Physical/Digital security,,,,,,"I am willing to volunteer at The Black Response (small admin tasks, grant writing, etc.)",,"direct follow up after events, webinars",,18 - 24 years,,,,,,,,,Woman,,,Asian or Asian American,,,,,,White,,
1.15E+11,4.33E+08,2024-10-17 19:48:07,2024-10-17 19:49:17,38.42.208.152,,,,,10,,,,,,Very well,,,,,,Always,,,Fairly connected,,,,,,Offer more virtual meetings,,,,,,,,Affordable housing,Anti-racism,"Disaster preparation (eg. fires, floods, earthquakes, etc.)",Mental health services,Immigration/Support for immigrants,Public schools,Preventing domestic/relationship abuse,Carceral systems,Alternatives to policing models,Abolition,Community organizing,Campaign building,Physical/Digital security,,I am not interested,,,,,,,,,25 - 34 years,,,,,,,,Woman,,,Asian or Asian American,,,,,,,,
1.15E+11,4.33E+08,2024-10-17 19:46:15,2024-10-17 19:47:52,73.99.96.7,,,,,8,,,,,,Very well,,,,,,,Not at all connected,,,,,,,,Offer more virtual meetings,,,,,,,,,,"Disaster preparation (eg. fires, floods, earthquakes, etc.)",,Immigration/Support for immigrants,,Preventing domestic/relationship abuse,Carceral systems,,Abolition,Community organizing,,,,I am not interested,,,,,,,,18 - 24 years,,,,,,,,,Woman,,,,Black or African American,,,,,,,
1.15E+11,4.33E+08,2024-10-17 19:46:51,2024-10-17 19:47:46,24.147.251.99,,,,,7,Making connections local/global,,,,Fairly well,,,,,,,Always,,,Fairly connected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15E+11,4.33E+08,2024-09-14 12:40:26,2024-09-14 12:46:03,172.56.194.72,,,,,10,Good resources,Help people in our community,,,,,Extremely well,,,,,Always,,,,,Extremely connected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
